                (1.87004,0)               (-0.523587,0)               (0,-0.926899)               (0,-0.105691)                (0,0.715478)                       (0,0)             (1.5708,1.5263)           (1.5708,0.691399)          (1.5708,-0.199792)          (1.5708,-0.523049)           (1.5708,0.377184)            (1.5708,1.39851)      (0.58897,-1.79741e-16)     (0.627358,-9.45687e-17)      (0.384532,8.80329e-17)      (0.591043,-9.4887e-17)     (0.152795,-1.63671e-17)    (-0.0749872,2.50983e-17)
      (1.89273,7.21587e-23)     (-0.496254,1.70346e-22)     (8.36842e-23,-0.949611)     (-4.7357e-23,-0.104205)      (2.15212e-25,0.717854)  (8.81406e-17,-3.22032e-23)            (1.5708,1.53353)           (1.5708,0.697911)          (1.5708,-0.193068)          (1.5708,-0.507732)           (1.5708,0.390848)             (1.5708,1.4077)     (0.570773,-3.66488e-23)      (0.609393,-8.1938e-23)      (0.36573,-1.98298e-22)     (0.566361,-2.87216e-22)     (0.127127,-1.96114e-22)   (-0.0951996,-2.32856e-23)
     (1.91597,-2.41427e-23)     (-0.469332,4.31956e-23)    (-3.03958e-23,-0.973161)    (-2.11882e-23,-0.102598)       (7.8313e-24,0.720541)  (9.12148e-16,-9.75651e-24)             (1.5708,1.5419)           (1.5708,0.704572)          (1.5708,-0.187534)          (1.5708,-0.494721)           (1.5708,0.404642)            (1.5708,1.41804)     (0.552707,-1.38921e-23)      (0.591545,2.05601e-23)     (0.347586,-6.74904e-23)     (0.542883,-9.52522e-23)     (0.102255,-5.76278e-23)     (-0.114831,5.73171e-24)
      (1.93948,3.29003e-23)     (-0.443248,2.92183e-23)     (4.99038e-23,-0.997243)    (-3.02407e-24,-0.100901)     (-3.69687e-24,0.723489) (-1.76621e-16,-2.64389e-24)            (1.5708,1.55122)           (1.5708,0.711294)          (1.5708,-0.183216)          (1.5708,-0.484018)           (1.5708,0.418375)            (1.5708,1.42934)      (0.53506,-3.47116e-23)      (0.574099,1.82223e-23)     (0.330331,-3.04571e-23)     (0.520859,-3.96415e-23)     (0.0785579,-3.4045e-23)    (-0.133581,-1.92524e-23)
     (1.96301,-3.35682e-23)     (-0.418414,-1.2908e-23)     (-3.73686e-23,-1.02158)    (2.71541e-24,-0.0991458)      (5.21597e-24,0.726646)     (4.41831e-17,4.461e-24)            (1.5708,1.56134)           (1.5708,0.717997)          (1.5708,-0.180118)          (1.5708,-0.475595)           (1.5708,0.431887)            (1.5708,1.44141)     (0.518114,-1.89285e-23)      (0.557336,4.49126e-23)      (0.314187,1.29471e-23)       (0.500529,1.0845e-23)     (0.0563742,9.48839e-24)    (-0.151177,-1.10648e-24)
      (1.98635,-3.7762e-23)     (-0.395223,-2.2601e-23)     (-4.96756e-23,-1.04591)     (5.6748e-24,-0.0973623)      (4.98174e-24,0.729961)  (-1.00907e-17,8.12925e-24)            (1.5708,1.57208)            (1.5708,0.72461)          (1.5708,-0.178225)          (1.5708,-0.469408)           (1.5708,0.445042)            (1.5708,1.45405)      (0.50214,-5.62855e-24)      (0.541522,2.27543e-23)      (0.299364,2.88991e-23)      (0.482117,3.42263e-23)     (0.0359974,2.24686e-23)     (-0.167369,1.52938e-24)
      (2.00931,1.53927e-23)     (-0.37404,-8.62658e-24)         (2.75927e-23,-1.07)    (1.31583e-24,-0.0955772)     (-3.26189e-24,0.733385)   (1.86919e-16,9.85978e-25)            (1.5708,1.58326)           (1.5708,0.731069)          (1.5708,-0.177509)          (1.5708,-0.465392)           (1.5708,0.457724)            (1.5708,1.46707)     (0.487395,-1.43747e-23)      (0.526904,4.08318e-23)      (0.286059,5.06683e-24)      (0.465835,7.43042e-24)      (0.0176782,4.7036e-24)    (-0.181938,-5.14548e-24)
     (2.03171,-1.18328e-24)     (-0.355199,6.98391e-23)     (-3.07594e-24,-1.09364)   (-1.48838e-23,-0.0938153)      (3.77832e-24,0.736872)   (5.55294e-16,-9.2142e-24)             (1.5708,1.5947)           (1.5708,0.737317)          (1.5708,-0.177928)          (1.5708,-0.463473)           (1.5708,0.469837)            (1.5708,1.48029)     (0.474115,-2.29492e-23)      (0.51371,-3.18439e-23)     (0.274454,-7.39198e-23)     (0.451881,-1.03628e-22)   (0.00162483,-7.26771e-23)    (-0.194694,-1.92432e-23)
      (2.0534,-5.33796e-24)     (-0.338996,6.44364e-24)     (-4.04266e-24,-1.11662)   (-2.31311e-24,-0.0920989)      (8.16376e-25,0.740374)  (5.00132e-16,-3.11227e-25)            (1.5708,1.60624)           (1.5708,0.743298)          (1.5708,-0.179428)          (1.5708,-0.463568)           (1.5708,0.481294)             (1.5708,1.4935)     (0.462512,-1.89524e-23)      (0.502143,3.44529e-23)     (0.264717,-1.35161e-23)     (0.440439,-1.64223e-23)    (-0.011995,-1.11946e-23)    (-0.205477,-5.93309e-24)
      (2.07419,2.94318e-24)     (-0.325684,-1.0536e-22)      (7.45744e-24,-1.13872)    (1.74399e-23,-0.0904484)     (-5.46558e-24,0.743848)   (9.94305e-16,1.33777e-23)             (1.5708,1.6177)           (1.5708,0.748962)          (1.5708,-0.181949)          (1.5708,-0.465588)           (1.5708,0.492019)            (1.5708,1.50655)      (0.452771,3.52842e-23)      (0.492377,5.19865e-23)      (0.256994,1.11712e-22)       (0.431675,1.5309e-22)    (-0.0230527,1.03272e-22)     (-0.214156,3.11915e-23)
