0.20000000000000112,0,-1.2799999999999998,-0.19999999999999996,0,0,3.138536408884706-8.472689376696798*^-17*I,-3.0747071678232456-8.940981208170962*^-17*I,2.6846298771882027-1.8850945593738954*^-16*I,2.594636390085695-7.593834224960543*^-17*I,-3.046902598460603-9.497861103054969*^-17*I,3.1381025420830313-7.942309170426894*^-17*I,0.3362762851850709-3.591632290859678*^-18*I,0.28689061436571145-1.9452151002265927*^-16*I,-0.021027360477035077-1.3566684573936927*^-16*I,0.02478441257561261-1.7442214872157709*^-16*I,-0.3953833637520812-3.493768831479001*^-17*I,-0.3797952134332366-1.311572448543788*^-16*I
0.19842294026620536-8.619531266518648*^-26*I,0.025066646692826187+1.372541346123748*^-25*I,-1.2800000000196243-6.853200011951911*^-26*I,-0.19842294025656446+1.4966319541481443*^-25*I,-0.025066646706838423-5.321120734613604*^-26*I,0.049737977431437055+1.1440922103826017*^-25*I,3.156080243431588+2.837043392674828*^-26*I,-3.0413900798076785+9.819443888098793*^-26*I,2.7048912130313325+1.0851174862355153*^-25*I,2.5801975526339596+7.26374157768064*^-26*I,-3.0923987212653516+5.129147413099775*^-26*I,3.1260477357929024+1.552195393162523*^-25*I,0.28581784543087246-2.352212602619546*^-25*I,0.276711181614624-9.909262436367858*^-26*I,-0.005609994061830554-7.773266782497038*^-27*I,0.04031220761832199+1.7295895552082603*^-26*I,-0.41051900269453945-7.437445363586576*^-26*I,-0.4425704080504023-2.5901221364262434*^-25*I
0.19371663223207064-2.20947461548265*^-34*I,0.04973797743294995+7.641172231936346*^-35*I,-1.2800000000132081+2.9505754495184092*^-34*I,-0.19371663222203725-1.6659136822509794*^-34*I,-0.049737977424567245-1.6888827976242518*^-34*I,0.09635073482253657-1.4025164690964374*^-35*I,3.179569979488185+4.7066820667573875*^-34*I,-3.009122603747099+1.5454366557903558*^-34*I,2.7226781288395907-6.921490170827129*^-35*I,2.5673089457339393-1.3313517166998642*^-34*I,-3.1321745359125583+1.363127893457253*^-34*I,3.1224355415090486+4.25617996271057*^-34*I,0.23681930369631315+5.908721208447875*^-35*I,0.26842753860079865-9.469736237846196*^-36*I,0.009021475261602449-8.543015705482026*^-35*I,0.05141368462996351-1.6233496286179178*^-34*I,-0.4266789586066147-1.5854136054057543*^-34*I,-0.5010183974991829+1.2154183119477509*^-35*I
0.18595529718622758-3.491248648630303*^-43*I,0.07362491054391997-4.503021825812872*^-43*I,-1.2800000000060365+2.6996428235102135*^-43*I,-0.18595529717733741-3.6089481056989256*^-44*I,-0.07362491053000983-2.9786428080181078*^-43*I,0.1369094211889488-1.814190712613175*^-43*I,3.206789833930057+3.933915619769873*^-43*I,-2.979730036134607+1.3085866294050744*^-43*I,2.7378462876909357+6.409456172153117*^-44*I,2.5581561384902214+2.555306591774739*^-43*I,-3.1628127194390654+3.903975214374582*^-43*I,3.1268346145528847-1.5607428820631805*^-44*I,0.1921891049035583+5.416383703948668*^-43*I,0.2610096349454722+2.9917229360220523*^-43*I,0.02044779700077224+1.7480243741044787*^-43*I,0.057294237446237795+1.7470684622072263*^-43*I,-0.4426177708268564+3.7310724995188605*^-43*I,-0.5524161134887366+5.095658442952288*^-43*I
0.17526133601404958-5.0730731074909434*^-54*I,0.09635073482487125-8.031668120705593*^-53*I,-1.2800000000018878-3.596394784365715*^-53*I,-0.17526133600928612+2.9123522498178866*^-53*I,-0.09635073481698207+3.1121131140084533*^-53*I,0.16886558510218502-1.8736421662630344*^-53*I,3.2351932658998193-2.621662810234263*^-53*I,-2.9543362126691726-1.6390755543033838*^-53*I,2.7508341852687948+1.0823668497761184*^-54*I,2.5546505793208185+3.6892076006660395*^-53*I,-3.1819765047496236+6.225082118201916*^-53*I,3.1378867663483643+2.4643636251835753*^-53*I,0.1541229909987715+4.320069499608422*^-53*I,0.253209966652393+3.4762558696963886*^-53*I,0.02664589551203279+4.588071712964745*^-53*I,0.05808740957833605+7.60021968128695*^-53*I,-0.4567516684410818+1.0272200428491738*^-52*I,-0.5950684353504134+7.529025828387075*^-53*I
0.161803398876478+1.961793735913846*^-62*I,0.11755705045995826+1.2800981804747712*^-62*I,-1.2800000000004015-7.464989348783483*^-63*I,-0.16180339887518114-1.9729425361652538*^-63*I,-0.11755705045762868+1.3247448315474799*^-62*I,0.19021130325951047+5.099362378673164*^-63*I,3.2624211324907764-2.2755912937514525*^-62*I,-2.933454383174825-9.60058381970238*^-63*I,2.762311045514637-5.700879957181469*^-63*I,2.558181332025948-1.1501875190623245*^-62*I,-3.1884754297739404-2.131974483752208*^-62*I,3.1538717384180335-1.5815725868444088*^-62*I,0.12407070562430668-1.5498332350250514*^-62*I,0.24391739089583286-6.312068377236064*^-63*I,0.026247076887041785-3.184010617710496*^-63*I,0.05441217861296573-5.241826829696022*^-63*I,-0.4675492197207955-1.271987364753549*^-62*I,-0.628113648737427-1.7358921177961155*^-62*I
0.1457937254844196+4.6168951376392517*^-73*I,0.13690942118603197+1.0429894903843279*^-72*I,-1.2800000000000553+7.632781789701433*^-75*I,-0.14579372548430347-1.9002346618165036*^-73*I,-0.13690942118565294+1.7143020484692212*^-73*I,0.19960534568572036+3.463333639965562*^-73*I,3.286652862694391-2.988983116431814*^-73*I,-2.917218504783042-5.941841330858534*^-74*I,2.7728080813136105-1.2689143443563048*^-73*I,2.569549668571121-5.5634427137901425*^-73*I,-3.1820603440216924-9.06721071396724*^-73*I,3.173238566647149-4.2311413953525686*^-73*I,0.10298991353440697-1.0037322315723932*^-72*I,0.23241816283494124-5.828703493113994*^-73*I,0.0185624999072577-4.6661275948133725*^-73*I,0.046917664866271795-5.978257588741238*^-73*I,-0.4738187650227044-1.0069232415611812*^-72*I,-0.6511592699117659-1.2355863512705552*^-72*I
0.1274847979495178-6.534128785927699*^-83*I,0.15410264855524275+1.1754345338130437*^-83*I,-1.2800000000000675-2.5285421872584728*^-83*I,-0.1274847979496485+2.918513099581015*^-83*I,-0.15410264855520153-1.0819343616679002*^-83*I,0.19645745014570049-1.1891629789871303*^-83*I,3.3067633798824145+5.3341423057435995*^-83*I,-2.9056172379442216+3.964671848927067*^-83*I,2.7824601131203766+4.460779526572746*^-83*I,2.5889791837502756+5.604835886468782*^-83*I,-3.163199302318768+7.063232669902511*^-83*I,3.194969752284839+6.255693690603262*^-83*I,0.09169570589392712-2.213816734651329*^-83*I,0.2185439230302341-4.069048796288397*^-83*I,0.0034938307993327257-2.734984442410965*^-83*I,0.03597575335290733+1.013919100861149*^-83*I,-0.47489077839459654+4.065409876296989*^-83*I,-0.6639322143102915+1.235798705905694*^-83*I
0.10716535899429769+1.9285458550959717*^-92*I,0.16886558510083396-2.970863521273429*^-93*I,-1.2800000000006821+9.44905504875605*^-93*I,-0.10716535899540736-6.616987036473405*^-93*I,-0.1688655851007451+3.7259073889534855*^-93*I,0.18096541049298848+2.744257642178253*^-93*I,3.3223562821324992-1.6118591427921766*^-92*I,-2.8986383935152458-1.1803011384366663*^-92*I,2.790906499165379-1.3334847062509147*^-92*I,2.6161033403839764-1.6616762766373075*^-92*I,-3.1329928489399963-2.0978334630362072*^-92*I,3.218730985732782-2.0970080767476775*^-92*I,0.09110246604114859+4.9877664746240776*^-93*I,0.20273914038571383+9.728898203289168*^-93*I,-0.018542426656616238+6.565482363048954*^-93*I,0.021576752838110315-1.7744822216372412*^-93*I,-0.4707442949304946-9.28880081297604*^-93*I,-0.666063926324863-2.9908663589434208*^-93*I
0.0851558583098884-1.3602988086213485*^-101*I,0.18096541049585976+2.6624420773279176*^-102*I,-1.2800000000018794-5.3430105797266824*^-102*I,-0.08515585831389282+1.0745815514427899*^-102*I,-0.18096541049476447-5.759363849814061*^-102*I,0.15410264855471717-9.716167985127413*^-103*I,3.333751635199083+1.369170405791139*^-101*I,-2.896288126626372+8.387371632936214*^-102*I,2.797353991749218+8.795316622613995*^-102*I,2.64990642330816+9.927304484272913*^-102*I,-3.0932313073043596+1.300250429480235*^-101*I,3.244793991670491+1.6405933821699057*^-101*I,0.10220402836561486-2.657348708885923*^-102*I,0.18607581666376508-5.193415118434172*^-102*I,-0.04661775050750875-3.7059392503721255*^-102*I,0.0034279642754550315-7.625715693275909*^-103*I,-0.4620932117839011+2.5647266904519998*^-102*I,-0.6570835347691248+5.071159102270386*^-103*I
