-0.5136951579345258,-0.5199956193725788,-0.7987229831575837,-0.3337590445754842,-0.9516994614991616,0,-1.885474722853147-1.0510305523517317*^-16*I,-2.65366482193082+2.747262006499188*^-17*I,2.782283527303565+1.860091889277488*^-17*I,2.89251489256385-1.5187686575730872*^-16*I,-2.2052227902999824+5.3404586605507356*^-17*I,-1.742941092611359-1.4210208817509338*^-16*I,0.6160601733585822-1.1774174530588308*^-16*I,0.6974690501752805-2.1388868973451734*^-16*I,0.4197629659432657+1.9431421639118244*^-17*I,0.5377001757469011-1.527409910691054*^-16*I,0.07050254829194261-6.627472181932422*^-17*I,-0.10394753137509125+3.0597044027713674*^-18*I
-0.5291869738695058-1.888397945243221*^-27*I,-0.3136113900706647+2.1014434634673367*^-26*I,-0.917054039424976+8.652603752306943*^-27*I,-0.22293354491737855+1.2183317317535974*^-26*I,-0.8937298351400228+5.2082273304151856*^-27*I,0.08856666174600479-4.324687757276346*^-28*I,-1.9640737280367448+1.4040791227075503*^-26*I,-2.6088976987169903+1.2573493913383057*^-26*I,2.8695350883021913+7.849147048576177*^-29*I,2.8847604939051026-3.8704918135296944*^-27*I,-2.3388190843571075-5.6274179664587566*^-27*I,-1.842939602436001+2.8113040515621722*^-27*I,0.4574308159199512-9.688776681531693*^-27*I,0.5147769199457369-8.058353189946824*^-27*I,0.26794509727566973-1.4381844568893136*^-26*I,0.3697256961169083-1.927047490515297*^-26*I,-0.08436263711514778-2.009768588926312*^-26*I,-0.2528127838001241-1.2304924086568512*^-26*I
-0.5182315685116511+7.230323258000884*^-40*I,-0.12666096446114042-1.3416008835822196*^-39*I,-0.9843812458196531+1.6905959761443475*^-38*I,-0.1301203434543629+4.1575317363974055*^-39*I,-0.846827213547484-9.21111935843286*^-39*I,0.16162820135903858-9.836702657586559*^-40*I,-2.0052500397752726+1.2150180048672412*^-38*I,-2.572881521379119+7.328287048353849*^-39*I,2.918579468678592-6.923413966527786*^-39*I,2.8540150305346415-5.449091304847358*^-39*I,-2.4573514407457044+2.112460084299571*^-39*I,-1.9149908607462398+6.327733166888088*^-39*I,0.3204271513065319+9.239439047540829*^-39*I,0.3768119905556044+1.0151237497820829*^-38*I,0.14335860757421193+1.923984105235284*^-39*I,0.224656469567035-4.819996242265618*^-39*I,-0.23878958196325542-6.206034322044625*^-39*I,-0.39411570483912367+4.177784834474023*^-39*I
-0.4907678697748987+4.260391571696836*^-53*I,0.015295482543217727-5.013606422962704*^-53*I,-1.0167984970234032-5.729967021999259*^-54*I,-0.06453348655057987-4.763992315136309*^-53*I,-0.8115548352029619+2.106116341629495*^-53*I,0.22135601893040915+1.0342202712403684*^-53*I,-2.0295158028760927-4.4650770299664325*^-53*I,-2.5504838806685237-4.1119388585681203*^-53*I,2.9403120954575446-2.7895856684060026*^-53*I,2.814779929240707-2.5918456003203178*^-53*I,-2.5556128559712903-1.5460565258728708*^-53*I,-1.9664109596403774-2.7625048556536248*^-53*I,0.21569363059620925+2.394285525658949*^-53*I,0.2866638981507208+4.329213515638675*^-53*I,0.058992697252980335+5.367028418309071*^-53*I,0.11930993204447861+4.417780402525486*^-53*I,-0.36640824088873586+1.371451816623247*^-53*I,-0.5112731348031884-1.027597613921363*^-53*I
-0.4577447840186351+2.577943570810025*^-69*I,0.11320643692069841+3.763609646137695*^-69*I,-1.033363624484565+7.915123926312556*^-69*I,-0.023021176615125746+9.148490945948086*^-70*I,-0.78243221738631-5.181274160883303*^-69*I,0.26605898601459443-1.8064865171513703*^-69*I,-2.0495050218062096+2.951013339949992*^-69*I,-2.5409579455743665-4.938230269151444*^-71*I,2.946658455245948-4.4961568223627883*^-69*I,2.7789639034537688-4.3905667420686*^-69*I,-2.63441776377255+2.939448612093191*^-69*I,-2.0073152878568488+4.143632014589952*^-69*I,0.14092600409292028+1.54615135782785*^-69*I,0.23180154414406492+9.732423064673601*^-70*I,0.0071946376944226585-2.7504950476129935*^-69*I,0.04964380263744349-6.843779719492411*^-69*I,-0.45915961240834974-8.665483718352645*^-69*I,-0.6000241069014963-6.856544391152931*^-70*I
-0.4268347661675009-2.04891370893229*^-87*I,0.17713333700969297-2.533579302210887*^-87*I,-1.0444088277771715-8.354243963052188*^-88*I,0.0008041774188671362-2.695543431291308*^-87*I,-0.7563202398237364+1.0865482575363042*^-87*I,0.2930256704604493-1.5492792158138044*^-87*I,-2.0692402930877374-1.083304372679572*^-87*I,-2.5404694574122995-1.5436246496591963*^-88*I,2.9460943179477903+8.892870752752704*^-88*I,2.7535273955212944+2.298011850003452*^-87*I,-2.693557565302888+3.3319532264537227*^-87*I,-2.043075978826922+3.742631254572841*^-88*I,0.09055423403219068+1.426264236986129*^-87*I,0.19853438565782647+1.356461146661792*^-87*I,-0.02443410098711935+1.7648799850391902*^-87*I,0.005855304332624698+2.083294861422917*^-87*I,-0.5186368768619604+2.5588026463108063*^-87*I,-0.6620745046529416+2.4489089456223104*^-87*I
-0.40229414171650824-4.901533447932617*^-97*I,0.21725624149957054+1.9753798016438884*^-96*I,-1.0538201145249244-9.548170858845985*^-98*I,0.012988335705205299+7.975903380195974*^-97*I,-0.7324828943196162-5.933140202049246*^-97*I,0.3007764208913611+6.352897626977715*^-97*I,-2.088552735574923+8.158096770606901*^-97*I,-2.545109056695793+6.935729970184931*^-97*I,2.943635074006168+3.013018566349514*^-97*I,2.741467790347352-1.7399597332119232*^-97*I,-2.732334793254721-1.0066272205666307*^-96*I,-2.0749496860047456-6.80381310727922*^-97*I,0.05961612208968795-1.5457216512618757*^-96*I,0.17667777649461758-1.1958457069230243*^-96*I,-0.04632742200337758-1.1670272019248896*^-96*I,-0.021248941416624586-1.3535433103084282*^-96*I,-0.5501180828480423-1.354245546125695*^-96*I,-0.7009511808578394-1.952072206698197*^-96*I
-0.3859041350239836+6.343422553262563*^-108*I,0.24090273971527384-1.3657821001998714*^-107*I,-1.062535582111545+5.939812431972464*^-108*I,0.01804552756687236-4.579269231258348*^-108*I,-0.7111613559852413+1.8929010866095162*^-107*I,0.28959495526272905-2.146780803660329*^-107*I,-2.106180496681379-5.881753985353398*^-108*I,-2.552267293889214-6.51149571156804*^-108*I,2.941573072798523-1.2171635280689974*^-108*I,2.743264212821642+8.961100657288599*^-108*I,-2.750939362884842+5.4662552203295856*^-108*I,-2.102271973615468-5.1110044015583103*^-107*I,0.045012908832964715+1.66338900672518*^-107*I,0.1602558006934009+6.334549026664519*^-108*I,-0.06516074311297335+2.0813664814738395*^-108*I,-0.038401008486523364+6.507825311531069*^-108*I,-0.5593356386832649+1.3593484311250923*^-107*I,-0.7198511862105377+1.379633774015149*^-107*I
-0.37784961894509667+1.5848698795062908*^-117*I,0.2524219097865099+9.387651690582453*^-118*I,-1.0705347767249345+4.4633927431893933*^-120*I,0.018853433747714074+4.124053204233477*^-118*I,-0.692656899315143+1.0794914224173654*^-119*I,0.26119662621046985+4.7619276709650105*^-118*I,-2.121144535916144-1.4062401656841947*^-117*I,-2.5607803569134524-6.109250255808477*^-118*I,2.9402679262501348-7.173737539533011*^-118*I,2.75790158440679-1.3099727119885835*^-117*I,-2.751003913397084-1.7875211554889383*^-117*I,-2.1240768988984953-2.035116563394777*^-117*I,0.0455668367294087-5.870007361508246*^-118*I,0.14680331226036825-4.347692106377073*^-118*I,-0.08418233900080357-5.564294161483972*^-118*I,-0.05000990262550462-7.969265352296664*^-118*I,-0.5513348780012052-1.1260780194324701*^-117*I,-0.7208866329295627-9.129119431164766*^-118*I
-0.37730122064446625+3.0980924300526915*^-127*I,0.25401377798640473+5.387539182799727*^-127*I,-1.0776676258853655-3.1079727886873868*^-127*I,0.01698626620368614+4.011314126133059*^-127*I,-0.6769411117415182+3.654312989419108*^-128*I,0.21819179570733205+2.9122483831069165*^-128*I,-2.133146176648053-3.3880338249583946*^-127*I,-2.5705930104116055-7.545496342878748*^-128*I,2.9388545787932134-4.2981001744008647*^-128*I,2.78339815761608-1.2643102310754307*^-127*I,-2.7355360195586087-2.8321181606448178*^-127*I,-2.1399114673010073-4.880076354436564*^-127*I,0.061463611435223074-2.3587389443447523*^-127*I,0.13637041076647743-3.276774362173904*^-127*I,-0.10412756014692841-4.340293481320114*^-127*I,-0.05882641074659332-5.104260876228638*^-127*I,-0.5305066965877012-4.210057618219276*^-127*I,-0.705192002472039-2.5231730609915297*^-127*I
-0.3827647905495055+1.283446340703655*^-135*I,0.24678712642815742-3.741754865681209*^-136*I,-1.0838928235206386-5.474816612838661*^-136*I,0.013217757491779102+7.168780216013785*^-137*I,-0.6635555664369979+9.873725226846019*^-136*I,0.1636789638003451-3.787108032564051*^-137*I,-2.14252777328274-1.5806312908355584*^-135*I,-2.5822810064757307-7.877912392442896*^-136*I,2.9358827746493352-3.831151322317027*^-136*I,2.8170183987793225-3.551961705174447*^-136*I,-2.708618659805798-1.169962621781005*^-135*I,-2.1501114606892453-2.6808049896917183*^-135*I,0.09324024385032233+3.424928410217088*^-136*I,0.13053959857791161+2.3454518362121464*^-136*I,-0.12416690125009627+2.1233821276348363*^-136*I,-0.06658937710843557+2.5133617221867684*^-136*I,-0.5010842238025972+4.359847891535762*^-136*I,-0.6736179851323346+3.1394808051890337*^-136*I
-0.392378075572469+2.622239068974614*^-153*I,0.2318722632592148-2.0236655725750392*^-153*I,-1.0892104999752166-3.5943851201625276*^-154*I,0.008107667574930004-3.726953297113017*^-154*I,-0.6516974709219021+1.5851022548263965*^-153*I,0.10106066737029573-1.4295549489747504*^-153*I,-2.1499585235798753-4.379455828626419*^-153*I,-2.5964452316668933-2.3917493002536093*^-153*I,2.9299491270120495-1.1543966204240934*^-153*I,2.855424501235168-7.941005147360793*^-154*I,-2.6749531845948087-2.3179511491526253*^-154*I,-2.15570223115441-1.0566043398665879*^-153*I,0.14036680062681708+2.9921311620434853*^-153*I,0.13137251073440218+1.154489122752212*^-153*I,-0.1428743575045329+4.410047248307972*^-154*I,-0.07458728789589276+5.838084035274754*^-154*I,-0.467596884579777+1.0054261198528438*^-153*I,-0.6278250415951838+2.910282996727086*^-153*I
