0.21833808165665786,-0.7906213868033382,0.7240859710802774,-0.7154994439464201,-0.6452575011458942,0,-0.11224708177891105+8.564716782405033*^-18*I,0.7453128304748228-7.710443659222416*^-17*I,1.4299633878665543-1.0123476658003623*^-16*I,0.8300450230008743-9.023128643113658*^-17*I,-0.2868399561208049-1.5752415902198853*^-16*I,-0.24735531615022688+3.2662052072539*^-18*I,0.8761914454555555-1.513323722322559*^-16*I,1.3561766375736213+8.564981963680112*^-18*I,0.8054121712576314-9.389105998133905*^-18*I,0.7196393797208633-1.9422490753309285*^-16*I,0.10661311496251118-2.0400690716215815*^-17*I,-0.03391249606302923-1.0051084355746774*^-16*I
0.08741128641440002+6.489866371350499*^-34*I,-0.8195594665262096+2.606951448592426*^-34*I,0.6842982562854855+3.022699291880232*^-34*I,-0.7209228146795704+8.663629985455829*^-35*I,-0.7637238694069504+3.7934787437315794*^-34*I,0.10082243426074339-3.255415088316575*^-34*I,-0.3488487739644155+1.0463359117495976*^-33*I,0.36030413167334335-4.477108640054708*^-33*I,1.454389422137342-2.2355278353337194*^-34*I,0.8146618331485457+1.2178140128604056*^-34*I,-0.3702158931542108+5.146332577602021*^-34*I,-0.3968999500434709+6.943650927422947*^-34*I,0.8533026024494678-4.5764658306900234*^-35*I,1.434657450325198-1.0568561600153577*^-33*I,0.8844691788698895-4.438172938118738*^-34*I,0.8038675729396169-4.6611196762540895*^-34*I,0.1551325484803317-2.5472460930921207*^-34*I,-0.06290903202204516-3.3092398726147735*^-35*I
-0.0038464852896850856-4.638310200879109*^-47*I,-0.8179505133201991+3.7113860274505936*^-47*I,0.6549210039715218-7.362905649059535*^-47*I,-0.7351408488181349-1.4067487221084584*^-47*I,-0.8609060763078944+5.0801847655629227*^-48*I,0.2137012313846892+1.3306680806704268*^-46*I,-0.5403744158137397-1.602822950866228*^-46*I,-0.28403515817416397-9.933109520761823*^-46*I,1.4669562226181447+7.523120332203912*^-47*I,0.799156079301641-2.0465832347400413*^-47*I,-0.4080392806521256+3.3188318428164956*^-49*I,-0.5078137669528925-6.758384395786229*^-47*I,0.8160922540749964-4.885763301096277*^-47*I,1.468640876668155+2.807086329518372*^-47*I,0.9358032895732911+3.867665870434462*^-47*I,0.8317648063925447-2.287936167839615*^-47*I,0.1584124927973773-6.126160557828068*^-47*I,-0.10845461300318095-5.674383146731941*^-47*I
-0.05260441021179195+1.7067165914432074*^-64*I,-0.7947512214499217+5.3995373964054*^-65*I,0.64668684642545+8.660634134691976*^-65*I,-0.753801468616851+3.7343211710446394*^-65*I,-0.9302995696498711+1.0919163964210936*^-64*I,0.3286750964782053-1.284926242489901*^-64*I,-0.6699087221464329+2.9627921648422928*^-64*I,-0.7840389441994032+4.091296112777421*^-63*I,1.4553185194785314-4.978810546403111*^-65*I,0.7826362896863466+3.849527520285473*^-65*I,-0.4030773287399509+1.1677609687507357*^-64*I,-0.5744844804601774+1.868703129896607*^-64*I,0.7743734154173081-3.005987391821133*^-66*I,1.4577676405594437-4.002257705811659*^-64*I,0.960597924765206-1.163755098553426*^-64*I,0.8140485335305225-9.13348185120036*^-65*I,0.12799878928031555-3.7270865890285647*^-65*I,-0.16193151563037375+8.32647957668327*^-66*I
-0.07084037899524379-6.830146092753843*^-76*I,-0.7620134549620635-6.063026424760601*^-77*I,0.653690309002862-3.849964849224008*^-76*I,-0.7737810756189436-2.1248891391216814*^-76*I,-0.9756584471809007-3.7243559061732814*^-76*I,0.43268516135859036+9.632955263189319*^-76*I,-0.7483731516249266-1.4147926445412192*^-75*I,-0.9803377678861942+3.8104177060863123*^-75*I,1.4271877732556355+1.3011852930732391*^-76*I,0.7690882221051074-2.0178837687227994*^-76*I,-0.3762280968418096-2.990175343375*^-76*I,-0.6088123521979675-8.140747550078337*^-76*I,0.7375218592940748-1.12173817854818*^-76*I,1.4390259432201853+1.6128982607582322*^-75*I,0.966278270601727+4.89389774837415*^-76*I,0.7737190376041603+1.2635838025517075*^-76*I,0.08225907626866473-1.3035794632885614*^-76*I,-0.21371465733934641-2.2773202774438325*^-76*I
-0.06792451849654389+1.009015553175297*^-93*I,-0.7293449223889796+1.1354400169401599*^-93*I,0.6692557083725885-7.701705071635616*^-94*I,-0.7919415210791835-5.9002837917817086*^-95*I,-0.9975015634651432+8.630542345287244*^-94*I,0.5093090789227821+2.2172236337839646*^-93*I,-0.7828693263745545-3.04561334670988*^-94*I,-1.0112433041090823+6.000958121205851*^-95*I,1.3944741079558738+4.275778672300037*^-95*I,0.7595237326428547+5.548865460407625*^-94*I,-0.34318480246036986+1.0154588016974334*^-93*I,-0.6176529658942521-3.6519087224407804*^-94*I,0.71153576156353-8.424137110219926*^-95*I,1.4280609144953302+1.784671942622057*^-94*I,0.9597080288435663-7.829143593814025*^-94*I,0.7294940279425903-1.7574757006338865*^-93*I,0.03708774162644904-1.966150451465335*^-93*I,-0.2564819415134439-8.752540247483149*^-94*I
-0.04736174836299919+6.059146425430652*^-103*I,-0.7034693229891544+2.6128874465640996*^-104*I,0.6917884140874689+2.8500023816644073*^-103*I,-0.80458098653118+1.0249316258666903*^-103*I,-0.9911112520125324+8.086242639948499*^-104*I,0.5399799739628215-1.3032972143018206*^-102*I,-0.7695989827317619+1.436128464700815*^-102*I,-0.9256501709915718-1.1502041184553462*^-101*I,1.3638709918281713+4.6454716456328395*^-104*I,0.7518127740848162+1.621663567733943*^-103*I,-0.31052309225925423+9.549792134493699*^-104*I,-0.5991042297177769+7.306262989675457*^-103*I,0.6999693666410794+1.3946392448917589*^-103*I,1.4266095138370318-7.255701133729596*^-103*I,0.9456840304777843-4.909899268220072*^-103*I,0.6927636801478854+3.9787747821618676*^-104*I,0.003955877570961735+2.5692785976035806*^-103*I,-0.28509989751384035+2.836269425537683*^-103*I
-0.0059725516299062725-2.123280124931995*^-117*I,-0.6855556085942478-1.186977076518872*^-118*I,0.7232787736433922-9.505998947789391*^-118*I,-0.8093024415476926-7.928229979665999*^-118*I,-0.9500869794028085-1.2859893528466696*^-117*I,0.5139677865395323+3.4742466253696714*^-117*I,-0.6970382112709234-4.5848938374258714*^-117*I,-0.6986406441322702+3.0270519358020174*^-116*I,1.3362402291857582-2.138981849506081*^-118*I,0.7442855793449128-5.671803933048926*^-118*I,-0.27608070154955944-8.068604109287456*^-118*I,-0.5455795448807395-2.677424391521671*^-117*I,0.7039580778408658-2.7643850868829892*^-118*I,1.4308541721732486+2.346040574806587*^-117*I,0.9245975727609345+1.3902316609920862*^-117*I,0.6647352099992666+9.189688504919241*^-119*I,-0.014492727209987656-6.192940073579425*^-118*I,-0.29835574177046353-7.874321627467778*^-118*I
0.06714696646550213-1.3982832935840631*^-130*I,-0.6674861959832709+1.8865731530154975*^-130*I,0.7651670082293723-1.1617443463463378*^-130*I,-0.8080512785850006-1.110908084172302*^-130*I,-0.8702696874081558-1.5035378075269815*^-130*I,0.4391347203519244+2.9720127893137027*^-130*I,-0.5499946353237962-4.61957230440816*^-130*I,-0.2811416409876722+1.6010166270932318*^-129*I,1.3100622857246573-5.404716473203247*^-131*I,0.7390225935617895+1.222988996053031*^-130*I,-0.22887431787099516-5.628212955995808*^-131*I,-0.44694357035479537-3.6718659801072956*^-130*I,0.7209202418518654-7.101655807164075*^-131*I,1.4278546521747706+3.3587920608999747*^-130*I,0.8900282134321365-7.755318521003807*^-131*I,0.6329611595536538-1.8569752254384775*^-130*I,-0.029349313159973574-3.168423924243739*^-130*I,-0.30172286650771524-2.125541683757414*^-130*I
0.18854653541232066-2.1327992875060844*^-146*I,-0.6315093209056758-8.021816285106978*^-147*I,0.8119155978159918-3.3358320937844376*^-147*I,-0.8091449697441123-3.8227679176054126*^-147*I,-0.7513476976328771-1.2649554116988766*^-146*I,0.3380512778155098+1.5268606551472017*^-146*I,-0.3126396202729872-3.6367715479504755*^-146*I,0.25225048097033903+2.784961135713395*^-146*I,1.2878288236751148-2.721135116988225*^-147*I,0.7432310997657697-6.836066900638575*^-147*I,-0.15219056648698043-1.2727349384153252*^-146*I,-0.29202536694538495-2.2988353175291914*^-146*I,0.7428772933863659+1.8266824918713507*^-147*I,1.3930739794673583+4.013379210171187*^-146*I,0.8297945189483288+1.3813963995290687*^-146*I,0.5735708743995143+9.704443909091489*^-147*I,-0.06393254410283432+5.137536900880628*^-147*I,-0.3077760855313935-1.1968988580274737*^-148*I
