0.20000000000000112,0,1.2799999999999998,0.19999999999999996,0,0,0.003056244705087313-8.472689376696798*^-17*I,-0.06688548576654774-8.940981208170962*^-17*I,0.45696277640159066-1.8850945593738954*^-16*I,0.5469562635040984-7.593834224960543*^-17*I,-0.09469005512919007-9.497861103054969*^-17*I,0.0034901115067618653-7.942309170426894*^-17*I,0.3362762851850709-3.591632290859678*^-18*I,0.28689061436571145-1.9452151002265927*^-16*I,-0.021027360477035077-1.3566684573936927*^-16*I,0.02478441257561261-1.7442214872157709*^-16*I,-0.3953833637520812-3.493768831479001*^-17*I,-0.3797952134332366-1.311572448543788*^-16*I
0.19842294026620547-1.5155760606820505*^-26*I,0.02506664669282638+5.349873642949266*^-25*I,1.2800000000196243-1.0020235624615293*^-25*I,0.19842294025656465+1.865111390417296*^-26*I,0.025066646706838357+3.263888757803451*^-27*I,0.04973797743143716+1.1224595264403559*^-25*I,-0.014487589841794485-2.0386172428755211*^-25*I,-0.10020257378211471-1.4138311016013935*^-25*I,0.43670144055846066+2.3241108796958256*^-26*I,0.5613951009558339+2.047787941016589*^-25*I,-0.049193932324441615+1.6368441801251824*^-25*I,0.0155449177968908-1.3142971601710716*^-25*I,0.28581784543087235-4.103859958564757*^-25*I,0.27671118161462394-2.978493785697113*^-25*I,-0.00560999406183058-2.8478039922148295*^-25*I,0.04031220761832188-3.9533207777699384*^-25*I,-0.4105190026945397-5.652081114950932*^-25*I,-0.4425704080504026-5.203547418586872*^-25*I
0.19371663223207095-1.7965162021868112*^-34*I,0.04973797743295045-6.570590666726001*^-35*I,1.280000000013208-3.098922851193712*^-34*I,0.19371663222203742+2.0744128144896294*^-35*I,0.04973797742456716+3.0896954991599306*^-34*I,0.09635073482253641-8.428105501711399*^-35*I,-0.037977325898391444-2.2917898483889006*^-34*I,-0.13247004984269403-1.079928443673121*^-34*I,0.41891452475020297-5.077199333677886*^-35*I,0.574283707855854-1.2057178999794883*^-34*I,-0.009418117677234595-1.6375028400354132*^-34*I,0.019157112080744745-1.8737760477507847*^-35*I,0.23681930369631296+1.757529841203803*^-34*I,0.2684275386007983+7.899275068663715*^-35*I,0.009021475261602033-2.330920305215294*^-36*I,0.05141368462996304-6.296638075036261*^-35*I,-0.4266789586066152-2.2051620063458783*^-35*I,-0.5010183974991833+1.3398954489071877*^-34*I
0.18595529718622836-1.7026680606233142*^-43*I,0.0736249105439201-1.4631628047629187*^-43*I,1.2800000000060363-9.72311167507924*^-44*I,0.18595529717733766-5.513478520939735*^-45*I,0.07362491053000975+9.034220989757248*^-44*I,0.13690942118894908-4.52673578807306*^-44*I,-0.06519718034026345-2.0195402635960054*^-43*I,-0.16186261745518596-7.193741289825235*^-44*I,0.4037463658988582-1.5915677808901677*^-44*I,0.5834365150995726-8.124997391486474*^-44*I,0.021220065849272985-2.417616642816861*^-43*I,0.014758039036909238-1.9652449789565562*^-43*I,0.19218910490355803+1.3055706878399926*^-43*I,0.26100963494547225+7.499551334881028*^-44*I,0.020447797000772365+6.317798335602*^-44*I,0.057294237446237746+9.707280132766047*^-44*I,-0.44261777082685677+1.6059161814783846*^-43*I,-0.552416113488737+1.6056380695957496*^-43*I
0.17526133601404956-6.2872688303229605*^-53*I,0.09635073482487128-9.826915454506113*^-53*I,1.2800000000018878-2.214190940395426*^-53*I,0.1752613360092862+8.860820883253167*^-55*I,0.09635073481698213+3.5663987388486164*^-53*I,0.16886558510218494-2.9790632885151632*^-53*I,-0.09360061231002621-6.67615903232991*^-53*I,-0.1872564409206204-1.8020418367162099*^-53*I,0.3907584683209986-9.768846562277972*^-54*I,0.5869420742689746-4.81626604103837*^-53*I,0.04038385115983022-8.299160791284432*^-53*I,0.00370588724142881-1.3682592328187073*^-53*I,0.15412299099877153+1.0108592361165402*^-52*I,0.2532099666523929+6.027142914842773*^-53*I,0.026645895512032728+4.451824776058671*^-53*I,0.05808740957833596+5.218165299875188*^-53*I,-0.45675166844108184+9.15052997149542*^-53*I,-0.5950684353504134+1.0019546095478641*^-52*I
0.16180339887647835+9.20843549186343*^-64*I,0.11755705045995872-5.100053865658289*^-63*I,1.2800000000004013+3.0046957067367275*^-63*I,0.16180339887518141-2.2236006133857345*^-63*I,0.1175570504576286-2.456759037769042*^-63*I,0.19021130325951002-2.0037350911758506*^-63*I,-0.12082847890098239+3.8631932084377343*^-63*I,-0.20813827041496769+1.7642901941776123*^-63*I,0.3792816080751569-2.314947219561999*^-64*I,0.5834113215638456-2.6080234313194384*^-63*I,0.046882776184146956-2.726501961336555*^-63*I,-0.01227908482823976-1.7814591965800952*^-64*I,0.12407070562430672+3.9517237764581305*^-63*I,0.24391739089583261+2.137935537469*^-63*I,0.026247076887041275+2.1542598854487826*^-63*I,0.054412178612965136+3.779529238363637*^-63*I,-0.46754921972079605+6.101665737182649*^-63*I,-0.6281136487374269+6.59922159559548*^-63*I
0.14579372548441952+4.1126210347695534*^-73*I,0.13690942118603175+4.468501154066624*^-73*I,1.280000000000055+1.7794341453830877*^-73*I,0.14579372548430342+3.928257649329404*^-74*I,0.1369094211856531-2.854641522965008*^-73*I,0.1996053456857207+1.2575151915677776*^-73*I,-0.1450602091045982+4.7676489003066834*^-73*I,-0.22437414880675127+1.7603890856366423*^-73*I,0.36878457227618305+1.014771874656104*^-73*I,0.5720429850186725+2.503990289702326*^-73*I,0.04046769043189932+4.373462911153046*^-73*I,-0.03164591305735612+2.296893690168548*^-73*I,0.10298991353440695-4.396416573477309*^-73*I,0.23241816283494157-2.225003046076342*^-73*I,0.018562499907258074-1.7379412042120125*^-73*I,0.046917664866272024-2.6042047855740078*^-73*I,-0.47381876502270437-4.7354232915420964*^-73*I,-0.6511592699117662-5.007008755452791*^-73*I
0.12748479794951859-2.7348652902750578*^-83*I,0.15410264855524303+1.3150282383650223*^-83*I,1.2800000000000675+9.688237531253557*^-84*I,0.12748479794964873-1.104486132998868*^-83*I,0.15410264855520142+5.050987396640493*^-84*I,0.19645745014570018-4.20820643086189*^-84*I,-0.16517072629262036-2.3645416839429785*^-83*I,-0.2359754156455711-1.818204533402328*^-83*I,0.3591325404694173-1.9775325149595163*^-83*I,0.552613469839518-2.1395768735845544*^-83*I,0.021606648728975122-2.4775837546373347*^-83*I,-0.05337709869504513-2.3787948043973703*^-83*I,0.09169570589392707-1.5561095640259647*^-83*I,0.21854392303023384-2.361690524454094*^-83*I,0.003493830799332366-1.76559340499164*^-83*I,0.035975753352906994-1.2193132348357733*^-84*I,-0.4748907783945968+1.0524978387264154*^-83*I,-0.6639322143102914-1.2744614001996204*^-84*I
0.1071653589942978+6.533129207961495*^-93*I,0.16886558510083366-9.580757805076924*^-94*I,1.2800000000006821-3.0833705651586987*^-93*I,0.10716535899540729+2.484883933955978*^-93*I,0.16886558510074515-1.1503869114989785*^-93*I,0.18096541049298873+9.548491799262024*^-94*I,-0.18076362854270617+5.4417492681103185*^-93*I,-0.24295426007454754+4.0040163776788404*^-93*I,0.3506861544244143+4.439678590485829*^-93*I,0.5254893132058169+5.626894477825953*^-93*I,-0.008599804649796813+7.080499447262932*^-93*I,-0.0771383321429887+7.07029579969112*^-93*I,0.09110246604114872+1.6238752940691213*^-93*I,0.2027391403857142+3.2808855000837612*^-93*I,-0.01854242665661589+2.257538793721432*^-93*I,0.021576752838110596-6.318832997343625*^-94*I,-0.47074429493049447-3.3101061685231313*^-93*I,-0.6660639263248629-1.1593903263168618*^-93*I
0.08515585830988882-4.656111288053239*^-102*I,0.1809654104958594+9.248910079761044*^-103*I,1.2800000000018794+1.8652077663486344*^-102*I,0.08515585831389277-3.384887986501669*^-103*I,0.18096541049476428+2.009818022346244*^-102*I,0.15410264855471728-3.354850787249914*^-103*I,-0.19215898160928951-4.6899080564151975*^-102*I,-0.2453045269634212-2.8604819598403476*^-102*I,0.3442386618405753-3.019430091358308*^-102*I,0.4916862302816337-3.413133099896272*^-102*I,-0.04836134628543324-4.473543466058372*^-102*I,-0.10320133808069738-5.631998590585935*^-102*I,0.10220402836561504-9.297512606405366*^-103*I,0.18607581666376538-1.7905883494135383*^-102*I,-0.046617750507508465-1.271356915260622*^-102*I,0.003427964275455281-2.6404672413111863*^-103*I,-0.46209321178390095+8.711663913211863*^-103*I,-0.6570835347691246+1.5494772044979444*^-103*I
