               (1.87004,0)              (-0.523587,0)              (0,-0.926899)              (0,-0.105691)               (0,0.715478)                      (0,0)            (1.5708,1.5263)          (1.5708,0.691399)         (1.5708,-0.199792)         (1.5708,-0.523049)          (1.5708,0.377184)           (1.5708,1.39851)     (0.58897,-1.79741e-16)    (0.627358,-9.45687e-17)     (0.384532,8.80329e-17)     (0.591043,-9.4887e-17)    (0.152795,-1.63671e-17)   (-0.0749872,2.50983e-17)
     (1.80774,3.51038e-24)     (-0.587939,3.4909e-24)    (4.81766e-24,-0.846066)   (-7.69424e-25,-0.129055)    (-2.82223e-25,0.709306)   (0.0229376,-9.84631e-25)           (1.5708,1.51648)          (1.5708,0.673662)         (1.5708,-0.246281)         (1.5708,-0.616285)          (1.5708,0.302662)           (1.5708,1.34722)    (0.586049,-7.93841e-25)    (0.678954,-2.07619e-24)      (0.4758,-4.54301e-24)    (0.708932,-5.81085e-24)    (0.229434,-3.80625e-24)   (-0.0866433,-5.9493e-25)
     (1.75769,3.80012e-25)    (-0.634673,1.18932e-24)    (3.89019e-25,-0.772803)   (-4.72462e-25,-0.148576)      (1.22472e-25,0.70449)   (0.0444059,-2.48933e-25)            (1.5708,1.5032)          (1.5708,0.649754)         (1.5708,-0.297999)         (1.5708,-0.711545)          (1.5708,0.234672)           (1.5708,1.30027)     (0.574991,1.02359e-25)    (0.718149,-3.32806e-25)    (0.552408,-1.83068e-24)    (0.804358,-3.07594e-24)    (0.285875,-1.53005e-24)     (-0.10411,2.29813e-25)
      (1.72745,3.2376e-25)     (-0.66264,3.40157e-25)    (4.50518e-25,-0.720648)   (-1.44966e-25,-0.162958)     (-1.01575e-26,0.70182)    (0.062694,-1.12368e-25)           (1.5708,1.49439)          (1.5708,0.627895)         (1.5708,-0.344054)         (1.5708,-0.787046)          (1.5708,0.186031)           (1.5708,1.26673)     (0.558385,1.97227e-25)    (0.743751,-3.48924e-25)       (0.609403,-5.65e-25)    (0.869625,-8.39385e-25)    (0.319282,-4.21278e-25)    (-0.125424,8.97727e-26)
    (1.71811,-1.03843e-21)   (-0.672991,-1.43378e-21)   (-1.21328e-21,-0.695915)    (1.27729e-22,-0.171833)    (-3.47744e-23,0.701363)    (0.0765573,1.71486e-22)           (1.5708,1.49547)          (1.5708,0.614768)         (1.5708,-0.375049)         (1.5708,-0.824547)          (1.5708,0.163102)           (1.5708,1.25094)     (0.539685,8.67095e-22)     (0.756486,4.91915e-22)     (0.644279,1.94473e-21)     (0.901481,2.22722e-21)     (0.330837,1.62766e-21)    (-0.148288,5.33306e-22)
     (1.72854,-5.2495e-22)   (-0.666891,-6.56824e-22)    (-7.67354e-22,-0.70112)    (1.47087e-22,-0.175197)      (1.00458e-23,0.70291)    (0.0852797,1.32534e-22)           (1.5708,1.50969)          (1.5708,0.614717)          (1.5708,-0.38468)          (1.5708,-0.81497)          (1.5708,0.167585)           (1.5708,1.25458)      (0.521624,2.1321e-22)     (0.757276,4.04353e-22)     (0.655815,8.90452e-22)     (0.899926,1.29148e-21)     (0.322912,6.22155e-22)     (-0.171298,1.5141e-22)
    (1.75872,-3.92567e-22)       (-0.64419,6.596e-22)   (-3.75323e-22,-0.738234)    (1.44065e-23,-0.172937)     (1.53346e-22,0.706357)      (0.08854,1.07222e-22)           (1.5708,1.53909)          (1.5708,0.629985)         (1.5708,-0.370145)         (1.5708,-0.759442)           (1.5708,0.19955)           (1.5708,1.27884)     (0.50547,-9.48004e-22)     (0.746197,2.45072e-22)    (0.643146,-2.98291e-22)     (0.86647,-1.24402e-21)    (0.296901,-6.39306e-22)   (-0.194398,-6.22531e-22)
     (1.81129,1.59668e-26)     (-0.602701,7.3715e-26)    (2.85464e-26,-0.810384)   (-4.16797e-26,-0.164584)      (6.1069e-27,0.711876)   (0.0862597,-1.34762e-26)           (1.5708,1.58506)           (1.5708,0.66102)         (1.5708,-0.332031)         (1.5708,-0.665938)          (1.5708,0.259147)           (1.5708,1.32553)     (0.490684,4.80213e-26)     (0.721836,1.27182e-26)    (0.605031,-1.43192e-25)    (0.802384,-2.11285e-25)    (0.252211,-9.76246e-26)    (-0.218953,1.53008e-26)
     (1.89154,2.71454e-24)    (-0.537703,5.19106e-24)    (3.64751e-24,-0.921597)   (-1.64077e-24,-0.149334)     (3.71556e-26,0.719851)   (0.0785579,-6.53991e-25)           (1.5708,1.64766)          (1.5708,0.706135)         (1.5708,-0.274303)         (1.5708,-0.545558)          (1.5708,0.346216)           (1.5708,1.39699)    (0.474504,-1.02693e-24)    (0.680724,-2.53999e-24)    (0.539235,-6.30426e-24)    (0.707613,-9.10954e-24)    (0.186209,-5.21146e-24)    (-0.24785,-9.20791e-25)
    (2.00406,-2.70479e-23)   (-0.441868,-3.31716e-23)    (-3.08847e-23,-1.07292)    (1.39094e-23,-0.126437)     (1.13145e-24,0.730481)    (0.0658788,8.11676e-24)           (1.5708,1.72328)          (1.5708,0.760072)         (1.5708,-0.204983)         (1.5708,-0.411684)          (1.5708,0.457541)           (1.5708,1.49392)     (0.451446,-1.2532e-23)     (0.617025,2.75881e-23)     (0.442311,4.70975e-23)     (0.580925,5.97792e-23)    (0.0950654,3.13923e-23)   (-0.285572,-5.41812e-24)
